date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:08	32895/32895	---M--	200	added ('OK')	text/html	date:Sat,%2001%20Feb%202025%2003:56:36%20GMT	https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/index5ddc.html	(from )
12:05:08	666/666	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2016%20Feb%202025%2006:35:08%20GMT	https://hakolab.site/robots.txt		(from )
12:05:10	232948/232948	---M-Z	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:10	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/unpkg.com/aos@2.3.1/dist/aos.css	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:11	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%2263f54efd-379%22	https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/css/lightbox.min.css	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/css/lightbox.min.css	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:12	143417/143417	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Dec%202023%2002:56:40%20GMT	https://hakolab.site/wedding/assets/img/favicon.jpg	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/img/favicon.jpg	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:12	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:13	9878/9878	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Jan%202025%2007:01:16%20GMT	https://hakolab.site/wedding/assets/css/style.css	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/css/style.css	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:15	70880/70880	---M--	200	added ('OK')	audio/mpeg	date:Mon,%2001%20Jan%202024%2019:30:34%20GMT	https://hakolab.site/wedding/assets/audio/door.mp3	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/audio/door.mp3	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:17	181665/181665	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Dec%202023%2003:32:44%20GMT	https://hakolab.site/wedding/assets/img/door-left.png	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/img/door-left.png	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
